,Time,Surface,Age,Sex,Vehicle,Severity
1,2335,0,23,0,0,1
4,1350,0,34,0,0,2
5,1350,0,25,1,0,2
6,2300,0,57,1,0,2
11,1745,0,18,0,0,2
16,1605,0,83,1,0,2
18,21,1,24,0,0,2
19,1430,0,28,1,0,2
20,1430,0,29,1,0,2
22,705,1,42,1,0,2
24,1430,0,34,1,0,2
25,1430,0,38,0,0,2
27,2330,0,23,1,0,2
29,1800,0,78,1,0,2
30,1800,0,51,1,0,2
33,1040,0,30,1,1,2
34,1040,0,66,1,0,2
36,2055,1,40,1,0,2
37,1109,0,49,1,2,2
39,2046,0,22,1,0,1
40,1240,1,17,1,3,2
41,1730,0,40,1,0,2
42,1805,1,24,1,0,2
43,1805,1,27,1,4,2
44,750,1,41,1,3,2
45,847,1,23,1,0,1
46,847,1,54,0,0,2
48,830,0,47,1,0,2
51,1656,1,20,1,5,2
53,819,0,31,1,3,2
54,2103,2,21,1,0,2
55,1539,0,21,1,6,2
56,147,0,38,1,7,2
57,752,1,27,0,0,2
58,750,1,49,1,8,2
59,1550,1,39,1,9,2
61,740,2,17,0,2,2
62,1525,0,23,0,0,2
63,1525,0,25,0,0,2
64,1525,0,54,1,0,2
66,2332,1,20,1,0,2
67,210,1,46,1,0,1
69,1335,0,24,0,0,2
71,1840,1,20,1,0,2
74,735,1,20,1,0,2
76,1915,0,23,1,6,2
77,1240,1,46,1,10,2
78,650,1,25,0,0,2
79,1550,0,20,1,3,1
80,2130,1,38,1,3,2
81,1830,0,37,1,0,2
82,712,2,38,1,0,2
83,845,1,26,1,3,2
84,1737,1,16,1,2,1
85,1753,1,37,1,3,1
86,1138,0,23,0,0,2
87,1138,0,56,1,0,2
88,150,0,53,1,0,2
89,1300,0,43,1,3,2
90,640,1,53,0,0,2
91,1935,0,43,1,0,2
93,1335,1,75,1,3,2
94,910,0,42,1,0,2
95,1330,0,36,0,0,2
96,15,1,38,1,8,1
99,1338,0,21,1,6,2
101,1215,1,90,1,4,2
103,2125,1,18,0,0,2
104,2125,1,23,1,0,2
110,1505,1,20,1,0,2
115,1825,1,47,1,0,2
118,1154,0,23,0,0,2
120,1800,1,21,1,0,2
121,1655,1,55,0,0,2
122,902,1,37,0,0,2
123,902,1,34,0,0,2
125,750,1,53,1,0,2
126,750,1,23,1,6,1
127,1820,1,58,0,0,2
129,1820,1,21,1,0,2
131,1500,1,43,0,0,2
133,750,1,23,1,0,2
134,750,1,23,1,9,2
138,848,2,40,1,0,1
139,848,2,28,0,0,2
141,800,0,39,1,3,2
142,630,2,34,1,9,2
143,2140,2,26,1,0,2
145,100,2,35,1,7,2
147,715,0,43,1,8,2
148,1855,1,33,0,0,2
149,1425,0,31,0,0,2
150,1425,0,42,1,0,2
152,1714,1,67,0,0,2
153,1714,1,64,0,0,2
154,2000,0,29,1,0,2
155,1530,0,19,0,0,2
157,800,1,47,0,0,2
158,730,1,44,1,3,2
161,722,1,50,1,0,2
162,1330,0,52,1,0,2
163,1330,0,59,1,11,2
164,1325,0,45,1,3,2
165,1435,0,26,1,0,2
166,1435,0,43,1,0,2
168,1435,0,37,1,0,2
170,25,1,38,1,8,1
172,1715,1,42,1,0,2
173,800,2,42,0,0,2
175,1300,0,19,1,0,2
176,1715,0,33,1,8,2
178,845,1,34,0,0,2
181,830,1,42,1,6,2
183,1755,0,50,0,0,2
184,1755,0,42,0,0,1
185,1755,0,39,1,0,1
187,757,2,36,0,0,2
188,757,2,50,1,0,2
189,840,0,34,0,0,2
190,1500,1,26,1,0,2
194,1530,1,75,1,0,3
195,1530,1,24,0,0,2
197,1000,1,28,0,3,2
198,1720,1,25,1,3,2
200,1209,1,54,0,0,2
202,1735,1,19,1,3,2
203,749,1,36,0,0,2
204,749,1,46,0,0,2
206,900,1,33,0,0,2
207,740,1,59,1,3,1
208,1330,0,44,0,0,2
212,821,1,45,1,0,2
213,821,1,32,1,0,2
214,821,1,42,0,0,2
216,1405,1,37,0,0,2
217,1840,1,18,1,5,1
218,1840,1,44,1,0,2
219,1545,0,40,1,3,2
220,703,1,18,1,6,1
221,1823,0,35,1,8,1
223,2248,0,35,0,4,2
224,2248,0,31,0,0,2
226,715,1,33,0,0,2
227,715,1,54,1,0,2
228,2139,0,23,1,0,2
229,1755,1,45,1,0,2
230,1755,1,32,1,0,2
231,1755,1,49,0,0,2
232,1435,1,36,1,0,2
233,1545,1,21,0,0,2
235,1801,1,20,1,0,2
237,1920,0,49,1,3,2
238,344,1,27,1,0,2
243,1400,0,44,0,0,2
244,1847,0,26,1,0,1
247,1125,0,26,1,0,2
248,1125,0,28,1,0,2
249,1250,1,32,1,0,2
250,1300,1,48,0,0,2
251,1011,3,37,1,0,2
254,1540,3,49,1,0,2
255,922,2,22,1,0,2
256,1800,3,20,1,0,2
257,830,3,40,1,9,2
261,915,3,47,1,0,2
262,915,3,29,0,0,1
263,1620,2,40,1,8,2
264,1641,1,21,0,0,2
266,1240,0,47,0,0,2
268,953,2,66,1,0,2
269,1925,1,58,0,0,2
270,1925,1,20,1,0,2
273,927,0,30,1,0,2
274,935,2,29,1,0,2
275,1930,0,23,1,0,2
276,1930,0,30,1,0,2
277,755,1,26,1,6,2
279,2245,2,25,0,0,2
281,1710,0,36,1,8,1
282,1705,0,43,1,0,2
289,1755,2,62,1,0,2
290,830,3,32,0,0,2
291,513,2,24,1,0,2
292,1945,0,64,1,0,2
296,1203,0,53,1,0,2
297,645,0,57,1,0,2
298,645,0,52,0,0,2
300,1814,0,33,1,0,2
302,1829,3,63,1,0,2
304,1512,0,34,1,0,1
305,130,2,25,1,0,2
309,800,2,35,1,0,2
310,550,0,34,1,0,1
