1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
Unclassified,01-Jan-09,44,Pedestrian,Slight,429093,436258,Darkness: street lights present and lit,1,3309,Dry,Male,55,Car,Fine without high winds
Unclassified,02-Jan-09,23,Driver,Serious,434723,435534,Darkness: street lights present and lit,1,2609,Dry,Female,2335,Car,Fine without high winds
Unclassified,02-Jan-09,12,Pedestrian,Slight,441173,433047,Darkness: street lights present and lit,1,2809,Dry,Female,1645,Car,Fine without high winds
A,02-Jan-09,15,Pedestrian,Slight,428487,431364,Darkness: street lights present and lit,1,3809,Dry,Male,1723,Car,Fine without high winds
Unclassified,02-Jan-09,34,Driver,Slight,425928,435480,Daylight: street lights present,2,3909,Dry,Female,1350,Car,Fine without high winds
Unclassified,02-Jan-09,25,Driver,Slight,425928,435480,Daylight: street lights present,2,3909,Dry,Male,1350,Car,Fine without high winds
A,02-Jan-09,57,Driver,Slight,425642,434240,Darkness: street lights present and lit,2,19809,Dry,Male,2300,Car,Fine without high winds
Unclassified,03-Jan-09,17,Passenger,Slight,429610,439798,Darkness: street lights present and lit,1,3709,Dry,Male,222,Car,Fine without high winds
Unclassified,03-Jan-09,23,Passenger,Slight,426535,433642,Darkness: street lights present and lit,2,4309,Wet / Damp,Female,325,Car,Fine without high winds
A,03-Jan-09,20,Passenger,Slight,437658,445061,Darkness: no street lighting,1,9009,Wet / Damp,Male,1645,Car,Fine without high winds
A,03-Jan-09,23,Passenger,Slight,437658,445061,Darkness: no street lighting,1,9009,Wet / Damp,Male,1645,Car,Fine without high winds
Unclassified,03-Jan-09,18,Driver,Slight,431508,435120,Darkness: street lights present and lit,2,66209,Dry,Female,1745,Car,Fine without high winds
Unclassified,03-Jan-09,47,Passenger,Slight,431508,435120,Darkness: street lights present and lit,2,66209,Dry,Female,1745,Car,Fine without high winds
Unclassified,03-Jan-09,11,Passenger,Slight,431508,435120,Darkness: street lights present and lit,2,66209,Dry,Male,1745,Car,Fine without high winds
Unclassified,03-Jan-09,15,Passenger,Slight,431508,435120,Darkness: street lights present and lit,2,66209,Dry,Female,1745,Car,Fine without high winds
Unclassified,03-Jan-09,42,Passenger,Slight,431508,435120,Darkness: street lights present and lit,2,66209,Dry,Female,1745,Car,Fine without high winds
A(M),04-Jan-09,83,Driver,Slight,443402,438684,Darkness: street lights present and lit,2,2909,Dry,Male,1605,Car,Fine without high winds
A(M),04-Jan-09,65,Passenger,Slight,443402,438684,Darkness: street lights present and lit,2,2909,Dry,Female,1605,Car,Fine without high winds
A,04-Jan-09,24,Driver,Slight,428099,426648,Darkness: street lights present and lit,1,4209,Wet / Damp,Female,21,Car,Fine without high winds
Unclassified,04-Jan-09,28,Driver,Slight,431482,435007,Daylight: street lights present,2,8409,Dry,Male,1430,Car,Fine without high winds
Unclassified,04-Jan-09,29,Driver,Slight,431482,435007,Daylight: street lights present,2,8409,Dry,Male,1430,Car,Fine without high winds
Unclassified,04-Jan-09,26,Passenger,Slight,431482,435007,Daylight: street lights present,2,8409,Dry,Male,1430,Car,Fine without high winds
A,05-Jan-09,42,Driver,Slight,427890,430474,Darkness: street lights present and lit,1,3109,Wet / Damp,Male,705,Car,Fine without high winds
A,05-Jan-09,18,Pedestrian,Fatal,427890,430474,Darkness: street lights present and lit,1,3109,Wet / Damp,Male,705,Car,Fine without high winds
