Latitude,Longitude
53.8217869864,-1.5595472253
53.8149357195,-1.4741102201
53.7921147788,-1.3764853025
53.7778346163,-1.5692031106
53.8149613217,-1.6076888687
53.8149613217,-1.6076888687
53.8038306519,-1.6121353321
53.8535740874,-1.5513542937
53.7984114056,-1.598627745
53.9003552533,-1.428370664
53.9003552533,-1.428370664
53.8114188651,-1.5229797965
53.8114188651,-1.5229797965
53.8114188651,-1.5229797965
53.8114188651,-1.5229797965
53.8114188651,-1.5229797965
53.8425957671,-1.3418590463
53.8425957671,-1.3418590463
53.735469286,-1.5755179837
53.8104048322,-1.5233861499
53.8104048322,-1.5233861499
53.8104048322,-1.5233861499
53.7698677058,-1.5783421673
53.7698677058,-1.5783421673
53.7982010252,-1.5869548184
53.7982010252,-1.5869548184
53.7994897582,-1.5091168649
53.7875683765,-1.5239332626
53.8026919309,-1.507515569
53.8053787258,-1.6732388094
53.8053787258,-1.6732388094
53.7634921735,-1.4917730956
53.8018183144,-1.6353842762
53.8352289707,-1.6187745527
53.8352289707,-1.6187745527
53.8661874393,-1.6819046222
53.7694617688,-1.5483064345
53.8376116025,-1.642413411
53.796999807,-1.4669258907
53.8976944891,-1.4283004377
53.7811408935,-1.5445085423
53.7966292522,-1.5546034776
53.752848215,-1.5151656492
53.752848215,-1.5151656492
53.8230869186,-1.6133703899
53.7499278099,-1.5571900147
53.7499278099,-1.5571900147
53.8372208362,-1.6205192182
53.7154329495,-1.5338996106
53.7154329495,-1.5338996106
53.8253147143,-1.5074935023
53.8119506337,-1.6077777109
53.8029463611,-1.642875224
53.8114820802,-1.5230550133
53.9308770656,-1.3844715759
53.7803515343,-1.5496919489
53.8903939605,-1.6661405157
53.7843820639,-1.5507263865
53.9335097172,-1.3738776303
53.8600432386,-1.676492842
53.8600432386,-1.676492842
53.7924889475,-1.5677627689
53.7890395803,-1.523218395
53.7890395803,-1.523218395
53.7890395803,-1.523218395
53.7663408352,-1.5573966994
53.8513896587,-1.3441533738
53.7686399599,-1.517305036
53.7686399599,-1.517305036
53.8043554087,-1.4799822152
53.8043554087,-1.4799822152
53.8730408204,-1.4881347677
53.8730408204,-1.4881347677
53.7942563323,-1.5426359519
53.7792174368,-1.4233251406
53.8128446366,-1.5131981788
53.7652443916,-1.4166140983
53.779082193,-1.6107700312
53.8755123629,-1.5118474381
53.8147123271,-1.5617021094
53.8130673456,-1.5691003163
53.7491422072,-1.6023271787
53.8571148894,-1.6907912515
53.8191561689,-1.57525042
53.7540060925,-1.6337962476
53.8679164465,-1.7231789219
53.8333116128,-1.5932345404
53.8333116128,-1.5932345404
53.8547918495,-1.5773374842
53.8121055171,-1.628202753
53.8177270994,-1.5159060384
53.8105802953,-1.5245687063
53.8160019078,-1.5388604563
53.85791125,-1.5775037164
53.8002996388,-1.4836458758
53.7800353947,-1.5713506706
53.8196403126,-1.5002537258
53.7953198375,-1.5410455685
53.7953198375,-1.5410455685
53.7808488454,-1.5433431716
53.8446427629,-1.6313800504
53.8077290343,-1.5520714181
53.7969699189,-1.4682926141
53.8660905066,-1.4750354424
53.8660905066,-1.4750354424
53.8660905066,-1.4750354424
53.8660905066,-1.4750354424
53.828596417,-1.3938261863
53.7950235927,-1.5411398859
53.7632234354,-1.5181255936
53.7217237476,-1.5477418704
53.7217237476,-1.5477418704
53.8220638287,-1.4721981308
53.8057096337,-1.50477734
53.8125632954,-1.5214632766
53.862014274,-1.5372753725
53.7959072338,-1.5489940919
53.7428216314,-1.505183081
53.8039432092,-1.451987784
53.8039432092,-1.451987784
53.8245690298,-1.4535721591
53.7968461295,-1.3806508304
53.8530018905,-1.6228088621
53.8530018905,-1.6228088621
53.7644728815,-1.5627257686
53.8046847351,-1.6410990855
53.8046847351,-1.6410990855
53.7905518959,-1.6138515662
53.7905518959,-1.6138515662
53.7905518959,-1.6138515662
53.7905518959,-1.6138515662
53.9111223007,-1.6975932064
53.8334144759,-1.5466769395
53.8147213148,-1.5617020157
53.8147213148,-1.5617020157
53.7482910806,-1.5473202912
53.7281073541,-1.4415911856
53.8174957845,-1.5994783777
53.8713604762,-1.451578754
53.8713604762,-1.451578754
53.8022210777,-1.6960991355
53.7834661617,-1.5833508165
53.7928611419,-1.6676738853
53.8980185513,-1.5708143768
53.7885085839,-1.5885981742
53.7702855981,-1.5311078031
53.8343223438,-1.6455563848
53.7869431801,-1.4077376603
53.7672855527,-1.3654445235
53.8423865688,-1.5401361416
53.8423865688,-1.5401361416
53.8089440672,-1.5902661045
53.9329502922,-1.3786533027
53.9329502922,-1.3786533027
53.8078756521,-1.5362465718
53.812508664,-1.5637297903
53.808456115,-1.4621186035
53.8062105967,-1.4746293564
53.8418360068,-1.6364503317
