,Time,Surface,Age,Sex,Vehicle
0,0,0,23,0,0
1,1,0,34,0,0
2,1,0,25,1,0
3,0,0,57,1,0
4,2,0,18,0,0
5,2,0,83,1,0
6,0,1,24,0,0
7,2,0,28,1,0
8,2,0,29,1,0
9,1,1,42,1,0
10,2,0,34,1,0
11,2,0,38,0,0
12,0,0,23,1,0
13,2,0,78,1,0
14,2,0,51,1,0
15,1,0,30,1,1
16,1,0,66,1,0
17,2,1,40,1,0
18,1,0,49,1,2
19,2,0,22,1,0
20,1,1,17,1,3
21,2,0,40,1,0
22,2,1,24,1,0
23,2,1,27,1,4
24,1,1,41,1,3
25,1,1,23,1,0
26,1,1,54,0,0
27,1,0,47,1,0
28,2,1,20,1,5
29,1,0,31,1,3
30,2,2,21,1,0
31,2,0,21,1,6
32,0,0,38,1,7
33,1,1,27,0,0
34,1,1,49,1,8
35,2,1,39,1,9
36,1,2,17,0,2
37,2,0,23,0,0
38,2,0,25,0,0
39,2,0,54,1,0
40,0,1,20,1,0
41,0,1,46,1,0
42,1,0,24,0,0
43,2,1,20,1,0
44,1,1,20,1,0
45,2,0,23,1,6
46,1,1,46,1,10
47,1,1,25,0,0
48,2,0,20,1,3
49,2,1,38,1,3
50,2,0,37,1,0
51,1,2,38,1,0
52,1,1,26,1,3
53,2,1,16,1,2
54,2,1,37,1,3
55,1,0,23,0,0
56,1,0,56,1,0
57,0,0,53,1,0
58,1,0,43,1,3
59,1,1,53,0,0
60,2,0,43,1,0
61,1,1,75,1,3
62,1,0,42,1,0
63,1,0,36,0,0
64,0,1,38,1,8
65,1,0,21,1,6
66,1,1,90,1,4
67,2,1,18,0,0
68,2,1,23,1,0
69,2,1,20,1,0
70,2,1,47,1,0
71,1,0,23,0,0
72,2,1,21,1,0
73,2,1,55,0,0
74,1,1,37,0,0
75,1,1,34,0,0
76,1,1,53,1,0
77,1,1,23,1,6
78,2,1,58,0,0
79,2,1,21,1,0
80,2,1,43,0,0
81,1,1,23,1,0
82,1,1,23,1,9
83,1,2,40,1,0
84,1,2,28,0,0
85,1,0,39,1,3
86,1,2,34,1,9
87,2,2,26,1,0
88,0,2,35,1,7
89,1,0,43,1,8
90,2,1,33,0,0
91,2,0,31,0,0
92,2,0,42,1,0
93,2,1,67,0,0
94,2,1,64,0,0
95,2,0,29,1,0
96,2,0,19,0,0
97,1,1,47,0,0
98,1,1,44,1,3
99,1,1,50,1,0
100,1,0,52,1,0
101,1,0,59,1,11
102,1,0,45,1,3
103,2,0,26,1,0
104,2,0,43,1,0
105,2,0,37,1,0
106,0,1,38,1,8
107,2,1,42,1,0
108,1,2,42,0,0
109,1,0,19,1,0
110,2,0,33,1,8
111,1,1,34,0,0
112,1,1,42,1,6
113,2,0,50,0,0
114,2,0,42,0,0
115,2,0,39,1,0
116,1,2,36,0,0
117,1,2,50,1,0
118,1,0,34,0,0
119,2,1,26,1,0
120,2,1,75,1,0
121,2,1,24,0,0
122,1,1,28,0,3
123,2,1,25,1,3
124,1,1,54,0,0
125,2,1,19,1,3
126,1,1,36,0,0
127,1,1,46,0,0
128,1,1,33,0,0
129,1,1,59,1,3
130,1,0,44,0,0
131,1,1,45,1,0
132,1,1,32,1,0
133,1,1,42,0,0
134,2,1,37,0,0
135,2,1,18,1,5
136,2,1,44,1,0
137,2,0,40,1,3
138,1,1,18,1,6
139,2,0,35,1,8
140,0,0,35,0,4
141,0,0,31,0,0
142,1,1,33,0,0
143,1,1,54,1,0
144,2,0,23,1,0
145,2,1,45,1,0
146,2,1,32,1,0
147,2,1,49,0,0
148,2,1,36,1,0
149,2,1,21,0,0
150,2,1,20,1,0
151,2,0,49,1,3
152,0,1,27,1,0
153,2,0,44,0,0
154,2,0,26,1,0
155,1,0,26,1,0
156,1,0,28,1,0
157,1,1,32,1,0
158,1,1,48,0,0
159,1,3,37,1,0
160,2,3,49,1,0
161,1,2,22,1,0
162,2,3,20,1,0
163,1,3,40,1,9
164,1,3,47,1,0
165,1,3,29,0,0
166,2,2,40,1,8
167,2,1,21,0,0
168,1,0,47,0,0
169,1,2,66,1,0
170,2,1,58,0,0
171,2,1,20,1,0
172,1,0,30,1,0
173,1,2,29,1,0
174,2,0,23,1,0
175,2,0,30,1,0
176,1,1,26,1,6
177,0,2,25,0,0
178,2,0,36,1,8
179,2,0,43,1,0
180,2,2,62,1,0
181,1,3,32,0,0
182,0,2,24,1,0
183,2,0,64,1,0
184,1,0,53,1,0
185,1,0,57,1,0
186,1,0,52,0,0
187,2,0,33,1,0
188,2,3,63,1,0
189,2,0,34,1,0
190,0,2,25,1,0
191,1,2,35,1,0
192,0,0,34,1,0
193,0,2,43,1,0
194,1,2,34,0,0
195,1,1,43,1,7
196,1,2,25,0,0
197,1,3,50,1,7
198,1,3,29,1,0
199,2,1,40,0,0
200,2,1,33,1,0
201,1,3,50,0,0
202,2,1,42,1,3
203,2,1,51,1,0
204,2,1,42,0,0
205,2,1,24,1,0
206,2,0,39,1,0
207,0,2,32,1,0
208,2,0,17,0,0
209,1,2,63,1,0
210,2,0,17,1,3
211,2,0,51,0,0
212,2,0,30,0,0
213,0,2,22,1,0
214,0,2,44,1,0
215,2,1,18,1,6
216,2,2,36,0,0
217,2,1,25,0,0
218,2,2,60,1,8
219,2,1,52,1,0
220,2,1,24,1,6
221,1,0,34,0,0
222,2,0,70,1,0
223,2,0,22,1,0
224,2,0,17,1,6
225,1,2,71,0,0
226,0,1,67,1,0
227,0,1,22,1,0
228,2,0,14,1,4
229,2,0,79,1,0
230,2,0,27,1,5
231,1,0,13,1,2
232,1,0,33,0,3
233,0,0,20,1,0
234,0,0,21,1,0
235,1,1,34,0,0
236,1,0,46,0,0
237,1,1,24,0,0
238,2,0,43,0,0
239,2,0,46,1,0
240,2,0,14,1,3
241,2,0,48,1,0
242,2,0,26,0,0
243,2,1,51,0,0
244,2,0,62,1,0
245,2,0,21,0,0
246,2,0,29,0,0
247,1,0,30,0,0
248,1,0,39,1,0
249,1,0,23,1,0
250,0,1,26,1,0
251,0,1,26,0,0
252,2,0,33,1,0
253,1,0,25,0,0
254,1,0,35,0,0
255,1,0,45,0,0
256,2,0,36,1,0
